Country Name,Country Code,Series Name,Series Code,Series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Germany,DEU,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure,48.56546787,50.05999216,49.92660463
Germany,DEU,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita,21881.89351,22575.79541,22551.77223
Germany,DEU,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth,1.454321339,3.171123638,-0.1064112
Germany,DEU,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP",2.40E+12,2.50E+12,2.48E+12
Germany,DEU,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP",2.40E+12,2.71E+12,2.80E+12
Germany,DEU,Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series,1.79E+12,1.98E+12,2.09E+12
Germany,DEU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,ICT goods imports,8.53,7.48,..
Germany,DEU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Imports of goods and services,1.63E+12,1.80E+12,1.78E+12
Germany,DEU,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Imports of goods and services,1.41E+12,1.51E+12,1.50E+12
Germany,DEU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Imports of goods and services,8.980000075,6.992108481,-0.626071743
Germany,DEU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Imports of goods and services,37.4990344,43.28360965,39.39675789
Germany,DEU,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Imports of goods and services,1.28E+12,1.36E+12,1.36E+12
